lemma	anagrams
樹脂	['十旨月村豆', '十旨木肘豆', '十寸旨月木豆']
聖人	['全口耳']
透析	['木秀近']
樹立	['村豆辛', '寸木豆辛']
消去	['法肖']
着工	['差目']
土台	['去口']
合法	['人治王']
土器	['吐品犬']
相応	['床心目']
薬品	['串古楽', '中口古楽', '串十口楽']
風潮	['千日汁肌虫']
整合	['口大政束', '一人口政束']
公債	['仏八責']
軽量	['又埋旦車', '一又埋日車']
空想	['工心相穴', '工心木目穴']
増幅	['一吐巾曽田', '口巾曽王田']
力学	['労子']
内緒	['納者']
恐縮	['凡宿心紅']
空洞	['同江穴']
一大	['天']
連隊	['遂陣']
浴室	['溶至']
突如	['八口安犬', '口女犬穴']
鉱業	['並広未金']
同人	['一内口']
辛抱	['包十拉']
情景	['憬青']
大師	['天帥']
窃盗	['切次皿穴']
破損	['員拓皮', '唄拓皮']
未婚	['女昧氏', '妹日氏']
根性	['恨木生']
欠如	['吹女']
誠意	['心成言音']
好感	['口威子心']
最期	['八取旦骨', '一八取日骨', '八又旦耳骨', '一八又日耳骨']
思案	['安心木田']
主治	['台注']
共演	['一八宙洪', '一洪由穴']
次女	['姿']
直結	['吉土組', '吉士組', '一十吉組']
種別	['刀利口重', '利力口重']
溶接	['安拉浴']
架空	['功口木穴', '加工木穴']
真空	['八工直穴', '具十工穴', '且八土工穴', '且八士工穴', '一且八十工穴']
古今	['十吟', '十含']
吟味	['口含未']
機材	['幾才林']
心中	['忠']
作詞	['伺詐']
借款	['仕昔欠示']
慰謝	['射尉心言', '尉心討身', '寸尉心言身']
標的	['勺木白票']
混同	['昆洞', '日比洞']
多種	['移重']
採集	['推木采']
試料	['式斗米言']
究明	['九日月穴']
仮想	['休反心目']
体格	['休各本']
直轄	['且土害車', '且士害車', '一且十害車']
工法	['去江']
異例	['供列田']
含有	['今右月']
音波	['日泣皮']
感慨	['憾既']
吸引	['中及弓', '及口弔']
悪臭	['亜息犬', '亜心犬自']
接客	['各安拉']
酸味	['公未酪']
骨盤	['月段皿舟']
結集	['吉木維']
花壇	['一主化固旧', '主化回土旧', '主化回士旧', '一主化十回旧']
暗黙	['日犬音黒']
試作	['代工詐']
詩集	['堆木討', '堆村言', '寺木誰', '寺椎言', '堆寸木言']
招集	['召推木']
定時	['堤守', '守旦走', '一守日走']
音量	['日旦童']
間伐	['日閥']
成型	['刑城']
容姿	['安次谷']
最古	['取口早', '十取口日', '又口早耳', '口支日耳', '十又口日耳']
真意	['具心章', '八心直音', '具十心音', '具心日辛', '一且八心章', '且八土心音', '且八士心音', '且八心旦辛', '一且八十心音', '一且八心日辛']
歓喜	['一午唯欠豆']
繁盛	['成敏皿糸']
接合	['大如拉', '一人如拉', '口大女拉', '一人口女拉']
鎮静	['争具針青', '争真金青', '争八直金青', '争具十金青', '一且争八針青', '且争八土金青', '且争八士金青', '一且争八十金青']
倍増	['位吐曽']
異論	['一共内苗言']
略奪	['各奮寸']
窮屈	['弓窟身']
改築	['凡工己枚竹', '凡己攻木竹']
辞儀	['位十義舌']
中佐	['仲左']
月給	['大絹', '一人絹']
真宗	['直示穴', '且土示穴', '且士示穴', '八土宜示', '八士宜示', '一且十示穴', '一八十宜示']
炭鉱	['山広灰金']
固体	['個本']
特攻	['寺工牧']
同月	['胴']
絶叫	['口糾色']
材木	['才林']
暗記	['己日言音']
党員	['兄賞']
累計	['十田糸言']
校庭	['交床廷']
同胞	['包胴']
委嘱	['和女属']
激怒	['奴心放泊', '又女心放泊']
真摯	['八執手直', '具十執手', '且八土執手', '且八執士手', '一且八十執手']
大義	['我美']
合弁	['二介台']
集結	['吉木維']
細分	['田紛']
激突	['放泊犬穴']
精製	['制米衣青']
特製	['制寺牛衣']
部員	['唄陪']
真言	['具計', '一且八計']
銃弾	['充単弓金']
落胆	['一各旧月汁']
体裁	['伐十本衣']
簿記	['己浦竹討', '寸己浦竹言']
準拠	['処推汁']
議案	['安木義言']
合算	['二介口目竹']
基板	['坂棋']
約定	['勺綻']
苦心	['古芯', '十口芯']
査察	['宜木祭']
資機材	['幾林次財']
真偽	['値八為']
謀反	['板甘言']
兵法	['去浜']
肝要	['干腰']
恒星	['一性日旦']
恩師	['一因帥心']
簡略	['各田竹間', '日田竹閣']
誘引	['弔秀言']
弾薬	['十単弔楽', '十単引楽']
寄託	['奇宅言']
未明	['昧月']
談合	['口大炎言', '一人口炎言']
概略	['既格田', '各既木田']
月報	['幸服']
最盛	['取成日皿', '又成日皿耳']
腸管	['一官易月竹']
触媒	['女某虫角', '女木甘虫角']
割賦	['則害武']
時空	['寺工日穴']
業態	['並心未能']
信奉	['俸言']
射精	['寸米身青']
植林	['森直', '且土森', '且士森', '一且十森']
停戦	['亭伐単']
付記	['信寸己']
禁固	['困枯示', '十回林示', '古困木示', '十口困木示']
窒息	['八室心自', '心穴自至']
記帳	['己巾言長']
禁忌	['己心林示']
部材	['才木陪']
直立	['一且辛']
特技	['持支牛', '十又持牛']
優等	['侍憂竹']
演歌	['一八可宙欠河', '一可欠河由穴']
管弦	['官弓玄竹']
製材	['制才木衣']
加担	['拐旦', '一拐日']
枯渇	['匂口果汁', '句旨木汁', '匂口日木汁']
好機	['女子幾木']
合板	['人又后木', '反口大木', '一人反口木']
子女	['好']
信義	['儀言']
精液	['夜清米']
苦境	['児十吐辛']
照準	['早沼焦', '昭汁焦', '十日沼焦', '召日汁焦']
加重	['動口']
省力	['劣目']
樹齢	['令十村歯豆', '令十寸木歯豆']
法度	['去渡']
植樹	['十土村査豆', '十士村査豆', '十寸林直豆', '十木村直豆', '且十土寸林豆', '且十土木村豆', '且十士寸林豆', '且十士木村豆', '十土寸木査豆', '十士寸木査豆']
線分	['泉紛']
台座	['人広舎']
格好	['各女子木']
計器	['古品犬言', '十口品犬言']
一躍	['唯正羽']
糖分	['唐粉']
搬出	['拙般']
普請	['譜青']
音源	['原日泣']
全校	['交栓']
腸内	['丙易月']
試着	['式目詳']
直腸	['一且土易月', '一且士易月', '且二十易月']
屈指	['掘旨', '尼拙日']
一路	['口各正']
鍵盤	['建皿般金']
公言	['訟']
香料	['日科米']
賢者	['又臣賭']
機銃	['充幾木金']
休戦	['伐単木']
空調	['周工穴言']
淡白	['泊炎']
廃車	['庫発']
新薬	['楽薪']
調製	['制周衣言']
漂白	['泊票']
校区	['交枢']
鎮守	['寸直穴金', '一且寸穴針', '一八宜寸針', '且土寸穴金', '且士寸穴金', '八土宜寸金', '八士宜寸金', '一且十寸穴金', '一八十宜寸金']
木簡	['日竹閑']
主査	['且柱']
謀略	['各某田言', '格甘田言', '各木甘田言']
如意	['口女心音']
精油	['清由米']
口論	['一中内計', '中内土言', '中内士言', '一中内十言']
導管	['官寸竹道']
各界	['介略']
習俗	['伯羽谷']
音符	['位寸日竹']
肢体	['伎月本']
悲哀	['口心衣非']
漂着	['洋目票']
薬味	['中十未楽']
育種	['一私腫', '一月私重']
樹林	['十寸森豆']
退陣	['連限']
日朝	['十早明']
俳諧	['信皆非', '伯比言非', '信比白非']
高率	['古商玄', '十口商玄']
仮装	['依反壮']
工員	['口貢']
勉学	['免労子']
直訳	['一且尺計', '且土尺言', '且士尺言', '一且十尺言']
合議	['口大義言', '一人口義言']
平時	['坪寸日']
凝集	['准木疑']
始業	['並台妹', '並台女未']
直射	['且土寸身', '且士寸身', '一且十寸身']
精査	['木粗青', '且木米青']
器械	['口品戒木犬']
不可思議	['否心田義訂', '否心町義言']
幅員	['一口唄巾田']
体臭	['伏本自']
検問	['人口合閑']
最愛	['取曖', '又曖耳']
訳者	['尺諸']
校門	['交閑']
詩的	['勺寺白言']
貼付	['偵口寸']
閉口	['問才']
口臭	['嗅']
公報	['八却又平']
克明	['兄早月', '兄十日月']
半信	['伴言']
銃器	['充口品犬金', '一口台呪犬金']
農法	['去濃']
真人	['火直', '且土火', '且士火', '一且十火', '且八十大']
結界	['介吉細']
公儀	['仏八義']
捻出	['念拙', '今心拙']
具材	['一八才査', '一且八才木']
採石	['拓采']
兵員	['丘八唄']
暗唱	['口晶音']
蔵相	['木目臣茂']
話者	['舌諸']
原題	['是願']
詩歌	['可吹寺訂', '口可寺欠訂', '可吐寸欠訂']
失速	['束迭']
付表	['俵寸']
即答	['合節', '口大節', '一人口節']
異臭	['共犬田自']
試案	['安式木言']
装具	['一且八壮衣']
相似	['以休目']
販路	['反口止賂', '反各員止', '反各唄止']
工賃	['任貢']
特捜	['又持牛申']
格調	['各周木言']
黙認	['忍犬言黒']
腰椎	['月要集']
監護	['又藍誰', '藍言隻']
焼香	['暁秋', '元千旧秋']
心中	['忠']
情感	['憾青']
星雲	['曇生']
盛衰	['一哀成皿', '一口成皿衣']
検分	['召大木火', '一人召木火', '人八召大木']
左腕	['宛工有']
全日	['人旺']
可燃	['口灯然']
妙法	['去女沙']
白昼	['尺日百']
禁欲	['林欠示谷']
調合	['口周大言', '一人口周言']
特記	['己牛詩', '寺己牛言']
思潮	['心早汁胃', '十心日汁胃', '十心明汁田', '心早月汁田', '十心日月汁田']
諸般	['者舟設']
増量	['埋旦曽', '一埋日曽']
胎盤	['台月皿般', '台皿股舟']
奪回	['唯因寸']
馬主	['駐']
寡占	['上且刃口穴', '上八刃口宜']
警鐘	['敬童言金']
一朝	['十土明', '十士明', '土早月', '士早月', '十土日月', '十士日月']
各紙	['氏絡']
紅色	['工絶']
鋼板	['反岡木金']
全幅	['呈大巾田', '一人呈巾田']
特訓	['川牛詩', '寺川牛言']
符合	['付答', '付口大竹', '一人付口竹']
簡保	['休口竹間', '休問日竹']
喜怒	['古奴心豆', '如心支豆', '十又如心豆', '十口奴心豆', '又古女心豆', '口女心支豆', '十又口女心豆']
寡黙	['一且刃突黒', '一且刃犬穴黒', '一八刃宜犬黒']
全量	['人旦理', '大日理', '一人日理']
哀愁	['口心秋衣']
描出	['拙苗']
諸点	['占煮言']
音韻	['暗賠']
針路	['古各止金', '十口各止金']
弔辞	['引舌辛']
音信	['位日言']
時機	['寺幾果', '寺幾日木']
体表	['俵本']
談義	['炎議']
溶媒	['安某浴', '案浴甘', '安木浴甘']
香味	['和昧', '和日未']
機具	['一八幾査', '一且八幾木']
担架	['一拐果', '拐旦木', '一拐日木']
一喜	['口土豆', '口士豆']
静的	['争勺白青']
全景	['京人旺']
泥酔	['九十尼酒']
香菜	['十木稲']
兵糧	['丘八米量']
兵舎	['丘吐火', '丘人八吐']
消炎	['淡肖']
枢機	['区幾林']
清音	['晴泣', '日泣青']
正教	['孝政']
導師	['一寸帥道']
明王	['旺月']
竜神	['申礼音']
脚部	['却月陪']
刑場	['一型易']
時季	['子寺香']
銅山	['両口金', '人呈岡', '全口岡']
農奴	['又娠曲']
粗悪	['且亜心米']
答案	['合安木竹', '口大安木竹', '一人口安木竹']
木版	['板片']
箇村	['団枯竹', '古団木竹', '古困寸竹', '固寸木竹', '十口団木竹', '十口困寸竹', '十回寸木竹']
盟友	['又日有皿']
合一	['二人口']
取捨	['人又括耳']
富国	['一回宝田']
干潮	['朝汗', '早汁肝', '十日汁肝', '十早月汗']
存命	['印合子', '印口大子', '一人印口子']
兵部	['丘八陪']
特撮	['持最牛', '取持日牛', '又持日牛耳']
香合	['人和旦', '和大日', '一人和日']
枯淡	['口木汁炎']
製鋼	['制岡衣金']
塞栓	['井全木王穴']
日英	['十央旧']
口蓋	['中十去皿']
日月	['明']
樹液	['夜村汁豆', '夜寸木汁豆']
樹海	['寸梅汁豆']
製錬	['制東衣金']
演壇	['主八回宣油', '一主回旦油穴', '主二回日油穴']
器材	['口品才木犬']
奇想	['心椅目']
古城	['十吐成']
古木	['枯']
強兵	['丘公弓虫']
軸索	['十由糸軍']
造反	['告返']
一蹴	['口就正']
計略	['十各田言']
鋼材	['岡才木金']
例会	['人伝列']
著明	['十旧月者']
内紛	['分納']
軍拡	['広揮']
検体	['倹木本', '人休合本', '人保大本', '人休口大本']
枢軸	['区木由車']
弔慰	['尉引心']
英検	['中人十大央木']
花器	['中化十品犬', '串化口古犬']
景況	['兄日涼']
東都	['者陳']
都銀	['者金限']
含意	['口念音', '吟心音', '今口心音']
高給	['不内品玄']
倒錯	['借到金']
廃案	['安床発']
別種	['刀利口重', '利力口重']
鐘楼	['女木童米金']
精錬	['東米金青']
譜例	['信列普']
蓄音	['旧畜辛', '旧玄田辛']
銅板	['反同木金']
遺失	['貴迭']
一期	['二八骨']
鋼管	['官岡竹金']
性感	['憾生']
訪朝	['早肪計', '十日肪計', '十早肪言']
保衛	['偉口桁', '偉口木行']
安直	['土女宜', '士女宜', '一十女宜']
習合	['人口百羽', '口大白羽', '一人口白羽']
時節	['即日等', '即寺日竹']
倒木	['休到']
林間	['果閑', '日木閑']
警固	['回敬計', '十回敬言']
月謝	['肘言身']
領分	['令頒']
腰部	['月要陪']
略記	['各己田言']
暗雲	['曇音']
吸盤	['又及皿船', '及口皿般']
相克	['枯見', '古木見', '兄十木目', '十口木見']
公算	['弁竹貝', '八弁目竹']
卒園	['十囚舎衣', '人十吐囚衣']
土足	['口走']
軟調	['周欠言車']
廃材	['床才発']
背部	['北月陪']
岐路	['又古各山止', '口各山支止', '十又口各山止']
腐心	['付応肉']
照度	['又庶昭', '又召庶日']
付言	['信寸']
測位	['側泣']
坂路	['反各吐止']
反吐	['口坂']
意訳	['尺心言音']
英明	['十央旧月']
会葬	['一介死芸']
姿態	['女恣能', '女心次能']
日輪	['内土旧車', '内士旧車', '一内十旧車']
立件	['位牛']
仮象	['像反']
詩吟	['今吐討', '含寺言', '今口寺言', '今吐寸言']
粗相	['査目米', '且木目米']
機軸	['幾木由車']
土台	['去口']
空路	['八口客工止', '口各工止穴']
趣意	['又恥走音', '取心走音', '又心耳走音']
兵曹	['丘八旦曲', '一丘八日曲']
季刊	['利子干']
心因	['恩']
側板	['仮則木', '休則反']
廃校	['交床発']
木彫	['周杉']
一枝	['又土木', '又士木']
合資	['員大次', '唄大次', '一人員次', '一人唄次']
専心	['寸恵']
転付	['伝寸車']
暗躍	['口曜止音', '唯日止羽音']
自慰	['尉息']
製粉	['分制米衣']
某日	['果甘']
異星	['八昔生田', '共日生田']
精舎	['人吐米青']
真性	['慎生', '十惧生']
楼閣	['各女米閑']
乾期	['乞八土早骨', '乞八士早骨', '一乙八午早骨', '一乞八十早骨', '乙八十午旦骨', '乙八午土日骨', '乙八午士日骨', '乞八十土日骨', '乞八十士日骨', '一乙八十午日骨']
超絶	['紹色走']
褒章	['依枯音', '休十哀音', '休古衣音', '休哀日辛', '位十哀果', '位古果衣', '位哀早木', '位日枯衣', '依口果辛', '依古木音', '保十衣音', '保日衣辛', '倍十果衣', '倍早木衣', '休十口衣音', '休口日衣辛', '位十口果衣', '位十哀日木', '位口早木衣', '位古日木衣', '依十口木音', '依口日木辛', '倍十日木衣', '位十口日木衣']
員数	['如敗米', '口女敗米']
苦言	['中十計']
村道	['導木']
一封	['寺王']
国守	['団宝']
思慕	['太小心日苗', '太小日田芯', '十太小心旧田']
神竜	['申礼音']
一存	['不子']
簡明	['日月竹間']
貞操	['占口損木']
落日	['各旧汁']
斜陽	['一斗易除']
時流	['一児寸法']
相反	['板目']
突堤	['旦犬穴走', '一日犬穴走']
領空	['令穴項']
掲出	['匂拙日']
言辞	['話辛']
公案	['安松']
詩作	['侍詐']
整腸	['一政易月束']
軟禁	['林欠示車']
喫緊	['又口契糸臣']
諸相	['木目者言']
胆管	['一官明竹', '官旦月竹', '一官日月竹']
諸方	['者訪']
議場	['易王義言']
婚家	['嫁日氏']
拍出	['拙白']
奇特	['埼寸牛']
埼京	['主口奇小']
強健	['仏建弓虫']
検針	['人大枯金', '人十合木金', '人古大木金', '人十口大木金']
検便	['倹梗']
謝意	['射心言音', '心討身音', '寸心言身音']
大権	['一椎矢', '一矢集']
銘記	['名己言金']
原液	['夜源']
土堤	['日王走']
褒賞	['償哀木', '償口木衣']
液中	['夜沖']
魚群	['君鮮']
工数	['女攻米']
清朝	['潮青', '十明汁青', '十晴月汁', '早月汁青', '十日月汁青']
築堤	['一凡工果竹走', '凡工旦木竹走', '一凡工日木竹走']
町議	['田義訂']
歌仙	['何可山欠']
相好	['女子木目']
託宣	['一宅旦言', '二宅日言']
一白	['百']
固辞	['十回舌辛']
脳性	['悩月生']
排撃	['手投輩', '手投車非']
番宣	['一審旦', '二審日']
悪業	['並亜心未']
加持	['寺拐']
機数	['女幾枚米']
供奉	['俸共']
鼓吹	['喜支欠', '十又喜欠', '古支欠豆', '十又古欠豆', '十口支欠豆']
消音	['日泣肖']
正攻	['工政']
清貧	['分月漬']
腕章	['宛明辛', '十宛月音', '宛日月辛']
各校	['交格']
採鉱	['拡采金']
査問	['且口閑']
性根	['恨木生']
時候	['侯寺旧']
絶交	['絞色']
擬音	['拉日疑']
法話	['去活言']
喜捨	['人古括豆', '人十口括豆']
最恵	['又恥旦由', '取心旦由', '一又恥日由', '一取心日由', '又心旦由耳', '一又心日由耳']
署員	['口者買']
特措	['持昔牛']
北朝	['十早背']
翻案	['女審木羽', '安木番羽']
楼門	['女米閑']
海草	['午旧母汁']
各藩	['番落']
可溶	['容河']
古寺	['十吐寸']
真如	['具古女', '八口女直', '具十口女', '一且八古女', '且八口土女', '且八口士女', '一且八十口女']
静態	['争心能青']
脱稿	['月税高']
中波	['沖皮']
倒立	['位到']
独尊	['寸猶虫']
薄暮	['博旧漠']
愛唱	['口日曖']
意中	['忠音']
空力	['功穴']
警笛	['敬由竹言']
巧者	['工日考']
試掘	['屈拭言']
謝辞	['射話辛', '寸話身辛', '射舌言辛', '舌討身辛', '寸舌言身辛']
呪力	['兄加']
相思	['想田', '心木田目']
官符	['付管']
薄明	['十旧浦肘', '十寸旧月浦']
貧者	['分賭']
意趣	['又恥走音', '取心走音', '又心耳走音']
警棒	['奉敬木言']
試供	['信共式', '代共工言']
中温	['日沖皿']
卑俗	['伯千谷']
暗部	['日陪音']
可搬	['又打船', '口打般']
心音	['意']
日直	['一且早', '且十旦']
腐植	['付床直肉', '値寸床肉', '土府査肉', '士府査肉', '府木直肉', '一十府査肉', '且付土床肉', '且付士床肉', '且土府木肉', '且士府木肉', '一且付十床肉', '一且十府木肉']
国富	['一回宝田']
総集	['心松維', '公心木維']
入退院	['完込限']
北壁	['口在尼辛']
話法	['去活言']
含蓄	['吟玄苗', '中今十畜', '今口玄苗', '中今十玄田']
辞意	['心舌辛音']
躍如	['口唯女止羽']
林床	['木麻']
合財	['員大才', '唄大才', '一人員才', '一人唄才']
共時	['八寺昔']
時評	['坪日討', '坪寸日言']
諦念	['今帝心言']
特等	['寸封牛竹']
翌朝	['十明羽辛', '十月章羽', '早月羽辛', '十日月羽辛']
辣腕	['宛月束辛']
口分	['八召']
染影	['九日杉涼']
法主	['去注']
管路	['口各官止竹']
供犠	['件共義', '儀共牛']
苦楽	['古薬', '十口薬']
精髄	['有迷青骨']
胎蔵	['台臓', '台月臣茂']
晩期	['免八旦骨', '一免八日骨']
腐臭	['府犬肉自']
流砂	['沙硫']
一計	['土言', '士言']
感涙	['心戻減']
記章	['己計音', '十己言音', '己日言辛']
吸蔵	['及口臣茂']
検認	['人合忍木言', '人口大忍木言']
好演	['一八女字油', '一八子安油', '一女子油穴']
低床	['休底']
胴部	['同月陪']
八景	['六口小日']
兵装	['丘八壮衣']
箇寺	['固等', '十回等', '十吐団竹']
作詩	['侍詐']
真情	['慎青', '十惧青']
精機	['幾木米青']
竹馬	['篤']
直言	['一且計']
怒張	['奴弓心長', '又女弓心長']
棒鋼	['奉岡木金']
連銀	['車退金']
休診	['人信杉']
始期	['一公如骨', '一八台女骨', '一公口女骨']
諸悪	['亜心者言']
調伏	['信周犬']
機影	['幾景杉', '京幾日杉']
原潜	['替源']
体言	['信本']
大寒	['一丼太穴']
標記	['己木票言']
方陣	['車防']
妙技	['十奴抄', '女抄支', '十又女抄']
銘板	['反名木金']
悪路	['亜口各心止']
恵日	['心旦由']
概数	['女既枚米']
全回	['呈囚']
調略	['各周田言']
日支	['又早']
流音	['充旧泣']
閑古	['十問木']
記数	['女改米言']
愚連	['心車遇']
検校	['交人合林', '交人口大林']
紙幅	['一口巾氏細']
諸姉	['一女巾者言']
新論	['一内薪言']
窃取	['切又穴耳']
打設	['投訂']
調儀	['信周義']
春宮	['呂実日']
動体	['働本']
異株	['共木朱田']
訓導	['川討道', '寸川言道']
鋼製	['制岡衣金']
最落	['取各旧汁', '又各旧汁耳']
呪法	['去口況']
粗製	['且制米衣']
恥部	['心耳陪']
超克	['兄十召走']
抱合	['包拾']
黙想	['心犬相黒', '心木犬目黒']
暗闘	['寸日豆闇', '寸豆間音']
引導	['寸弔道']
滑空	['江穴骨']
研削	['刑硝']
体動	['働本']
等量	['埋寸旦竹', '一埋寸日竹']
本例	['体列']
木管	['棺竹']
里程	['和理']
液胞	['夜月泡']
箇日	['回早竹']
盛装	['壮成皿衣']
精兵	['丘八米青']
特恵	['一寺心牛由', '寸心牛王由']
卑小	['十少白']
標章	['果票辛', '十木票音', '日木票辛', '一中旧木示辛']
油膜	['月漠由']
悪辣	['亜心束辛']
滑膜	['月漠骨']
幹校	['交人十干早木']
眼病	['丙痕目']
休載	['伐十木車']
公信	['仏八言']
鼓笛	['十支由竹豆']
謝恩	['因射心言', '因心討身', '因寸心言身']
全機	['幾栓']
全訳	['尺詮']
総収	['公又心糾']
日章	['十暗', '早音']
林木	['森']
悪習	['亜心白羽']
暁星	['元千日旧生']
作意	['位心昨']
全相	['栓目']
同金	['銅']
休講	['信構', '井信再木']
供試	['信共式', '代共工言']
献体	['伏南本']
整枝	['支政木束', '十又政木束']
俗論	['倫言谷']
幕舎	['人口墓巾']
閉校	['交才閑']
各級	['及絡']
各室	['客至']
好悪	['亜女子心']
詩型	['刑封言']
促音	['位日足']
導引	['寸弔道']
付会	['人伝寸']
分合	['一召火', '八召大', '一人八召']
名鑑	['監銘']
暗譜	['日普言音']
